ANO_LETIVO,CODIGO_CIE,CODIGO_INEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MÉDIO
2019,13648,35013648,20205,SAO JOSE DOS CAMPOS,YOSHIYA TAKAOKA,SAO JOSE DOS CAMPOS,0.0000000000,2.6600000000,2.3600000000
2019,13651,35013651,20205,SAO JOSE DOS CAMPOS,SANT ANA DO PARAIBA,SAO JOSE DOS CAMPOS,5.8300000000,0.0000000000,0.0000000000
2019,13687,35013687,20207,JACAREI,FRANCISCO GOMES DA SILVA PRADO DR,JACAREI,0.0000000000,2.3600000000,1.9200000000
2019,13699,35013699,20206,TAUBATE,JOAQUIM FRANCO DE ALMEIDA CORONEL,JAMBEIRO,0.0000000000,0.0000000000,2.8100000000
2019,13705,35013705,20207,JACAREI,HERMINIA SILVA DE MESQUITA PROFA,JACAREI,0.0000000000,4.3500000000,2.8700000000
2019,13730,35013730,20205,SAO JOSE DOS CAMPOS,ARMANDO D OLIVEIRA COBRA,SAO JOSE DOS CAMPOS,0.0000000000,0.0000000000,3.4600000000
2019,13754,35013754,20205,SAO JOSE DOS CAMPOS,MARIA LUIZA DE GUIMARAES MEDEIROS PROFESSORA,SAO JOSE DOS CAMPOS,0.0000000000,0.0000000000,1.7900000000
2019,13778,35013778,20205,SAO JOSE DOS CAMPOS,WILMA RAGAZZI BOCCARDO PROFESSORA,SAO JOSE DOS CAMPOS,6.4800000000,4.4800000000,0.0000000000
2019,13785,35013785,20207,JACAREI,CARLOS PORTO CORONEL,JACAREI,0.0000000000,0.0000000000,4.1000000000
2019,13791,35013791,20205,SAO JOSE DOS CAMPOS,MAURICIO ANISSE CURY DOUTOR,SAO JOSE DOS CAMPOS,5.7400000000,0.0000000000,0.0000000000
2019,13808,35013808,20207,JACAREI,POMPILIO MERCADANTE DR,JACAREI,0.0000000000,4.3800000000,2.6100000000
2019,13812,35013812,20207,JACAREI,DOROTHOVEO GASPAR VIANNA PROF,JACAREI,0.0000000000,3.3900000000,2.2500000000
2019,13821,35013821,20207,JACAREI,JOAO FELICIANO,JACAREI,0.0000000000,3.9100000000,1.8300000000
2019,13845,35013845,20207,JACAREI,ANTONIO JOSE DE SIQUEIRA PROF,JACAREI,0.0000000000,3.9000000000,2.4600000000
2019,13869,35013869,20205,SAO JOSE DOS CAMPOS,JOSE MARIOTTO FERREIRA MAJOR AVIADOR,SAO JOSE DOS CAMPOS,8.4100000000,5.6900000000,4.2300000000
2019,13882,35013882,20206,TAUBATE,EDUARDO JOSE DE CAMARGO CORONEL,PARAIBUNA,0.0000000000,3.8400000000,2.8900000000
2019,13894,35013894,20205,SAO JOSE DOS CAMPOS,SUELY ANTUNES DE MELLO PROFESSORA,SAO JOSE DOS CAMPOS,6.9000000000,0.0000000000,0.0000000000
2019,13912,35013912,20205,SAO JOSE DOS CAMPOS,RONDON MARECHAL,SAO JOSE DOS CAMPOS,0.0000000000,5.6900000000,0.0000000000
2019,13924,35013924,20205,SAO JOSE DOS CAMPOS,RUI RODRIGUES DORIA DOUTOR,SAO JOSE DOS CAMPOS,0.0000000000,2.4100000000,2.6800000000
2019,13936,35013936,20205,SAO JOSE DOS CAMPOS,FRANCISCO PEREIRA DA SILVA PROFESSOR,SAO JOSE DOS CAMPOS,0.0000000000,0.0000000000,5.1100000000
2019,13948,35013948,20205,SAO JOSE DOS CAMPOS,JOAO CURSINO,SAO JOSE DOS CAMPOS,0.0000000000,3.0600000000,2.2400000000
2019,13959,35013959,20207,JACAREI,BENEDITO RAMOS ARANTES CEL,IGARATA,0.0000000000,3.3300000000,2.3700000000
2019,13973,35013973,20207,JACAREI,DIRCEU JUNQUEIRA DE SOUZA PROF,JACAREI,0.0000000000,3.3700000000,1.7500000000
2019,13985,35013985,20206,TAUBATE,CERQUEIRA CESAR DOUTOR,PARAIBUNA,0.0000000000,4.2600000000,2.7800000000
2019,14000,35014000,20206,TAUBATE,CESAR COSTA DEPUTADO,TAUBATE,0.0000000000,4.5600000000,2.8300000000
2019,14011,35014011,20206,TAUBATE,ROQUE DE CASTRO REIS PROFESSOR,TAUBATE,0.0000000000,0.0000000000,2.4200000000
2019,14023,35014023,20206,TAUBATE,JOAO ALVES MONSENHOR,TAUBATE,0.0000000000,0.0000000000,2.1400000000
2019,14060,35014060,20206,TAUBATE,FRANCISCA MOURA LUZ PEREIRA PROFESSORA,CACAPAVA,0.0000000000,2.6300000000,2.0800000000
