ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MEDIO
2018;3840;35003840;10312;CENTRO OESTE;CARLOS MAXIMILIANO PEREIRA DOS SANTOS;SAO PAULO;;5.4800000000;
2018;2148;35002148;10205;LESTE 5;PAULO NOVAES DE CARVALHO PROFESSOR;SAO PAULO;;3.2700000000;2.9100000000
2018;902718;35902718;10211;LESTE 3;JOAO CASTELLANO PROFESSOR;SAO PAULO;4.7500000000;;
2018;352573;35352573;10211;LESTE 3;ANTONIO CARLOS BRASILEIRO DE ALMEIDA JOBIM TOM JOBIM;SAO PAULO;4.8400000000;;
2018;22160;35022160;20501;ARARAQUARA;JOAO BATISTA DE OLIVEIRA;ARARAQUARA;;3.7200000000;2.7800000000
2018;4092;35004092;20501;ARARAQUARA;JARDIM DOS OITIS;ARARAQUARA;;2.1700000000;1.7400000000
2018;566202;35566202;10706;TABOAO DA SERRA;CHB EMBU N II;EMBU DAS ARTES;;3.2800000000;2.1000000000
2018;906475;35906475;10706;TABOAO DA SERRA;VILA OLINDA II;EMBU DAS ARTES;;3.4900000000;2.5100000000
2018;10133;35010133;10706;TABOAO DA SERRA;MARIA AUXILIADORA;EMBU DAS ARTES;;3.3300000000;2.2800000000
2018;14540;35014540;20302;AVARE;JOSE PENNA;TAQUARITUBA;;3.3300000000;3.0200000000
2018;3505;35003505;10102;CENTRO;DEODORO MARECHAL;SAO PAULO;5.2700000000;;
2018;1077;35001077;10104;NORTE 2;JUDITH GUIMARAES DOS SANTOS PROFA;SAO PAULO;6.0200000000;;
2018;4820;35004820;10316;CENTRO SUL;JOSE VICENTE DE AZEVEDO CONDE;SAO PAULO;;;3.0200000000
2018;1582;35001582;10205;LESTE 5;DOMINGOS FAUSTINO SARMIENTO;SAO PAULO;4.7500000000;;
2018;3931;35003931;10312;CENTRO OESTE;OSWALDO ARANHA;SAO PAULO;;4.4300000000;3.7500000000
2018;4467;35004467;10316;CENTRO SUL;GOMES CARDIM PROFESSOR;SAO PAULO;6.3100000000;;
2018;915701;35915701;10210;LESTE 2;BRENO DI GRADO PROF;SAO PAULO;3.9600000000;;
2018;4236;35004236;10312;CENTRO OESTE;PEDRO FONSECA PROFESSOR;SAO PAULO;;;2.7100000000
2018;925391;35925391;10210;LESTE 2;REPUBLICA DA GUATEMALA;SAO PAULO;;2.7200000000;1.6200000000
2018;909087;35909087;10208;LESTE 4;KIMAKO KAMADA KINOSHITA PROFA;SAO PAULO;6.0300000000;;
2018;902810;35902810;10208;LESTE 4;JOZINEIDE PEREIRA GAUDINO;SAO PAULO;4.6200000000;2.0800000000;1.6900000000
